Abuse people's confidences.,H1131
Often express doubts.,H1172
Often feed homeless people at my front door.,P493
Often feel blue.,X74
Often feel disconnected from my own body.,T2107
Often feel like I have some physical ailment.,T2109
Often feel like I'm being 'ripped off.',T2110
Often feel like my thoughts make no sense.,T2111
Often feel like others are 'up to something.',T2112
Often feel overwhelmed with rage.,T2113
Often feel physically fit and mentally alert.,W377
Often feel tired.,W380
Often feel too tired to do anything.,T2114
Often feel uncomfortable around others.,H909
Often fly to Switzerland.,P372
Often forget things.,X141
Often forget to put things back in their proper place.,X82
Often forget what day it is.,T2120
Often forget why I walked into a room.,T2122
Often get out of things by making up good excuses.,T2123
Often have a racing heart when things scare me.,T2127
Often have disorganized thoughts.,T2129
Often have illogical thoughts.,T2130
Often have the experience of déjà vu.,T2131
Often have the feeling that others laugh or talk about me.,A40
Often identify with 'the villain' in movies.,T2134
Often ignore my feelings.,X183
Often like to do the first thing that comes to my mind.,T2138
Often lose track of time.,P456
Often make a fuss.,H523
"Often make big, expensive purchases without thinking of the financial consequences.",T2141
Often make decisions without regard for the mess they will cause.,T2142
Often make last-minute plans.,E66
Often make plans that I do not follow through with.,D54
Often need help.,H966
"Often notice how weather conditions (rain, snow, wind, sunshine) are used to convey the mood of the characters in a movie.",D105
Often refrain from doing something because of my fear of being embarrassed,S10
Often refrain from doing something I like in order not to be rejected or disapproved of by others,S18
Often see no reason to continue living.,T2149
Often 'space out' and lose track of what's going on.,T2078
Often stop in the middle of one activity to start another one.,T2150
Often stop to analyze how I'm feeling.,A142
Often suspect that others are trying to exploit me.,T2152
Often talk about death and dying.,T2153
"Often tell myself that I'll do an activity tomorrow, even when I have enough time to complete it today.",D98
Often think about the possibility of negative outcomes that are not likely to occur.,D47
Often think that I could do more things if it was not for my insecurity or fear,S32
Often worry about things that turn out to be unimportant.,D71
Often worry about things to the extent that my intellectual performance is impaired,S34
Only feel comfortable with friends.,H656
Only get what I want because I work hard for it.,V3
Only look at things from a single angle.,H1463
Only pretend to have the best interests of others at heart,M48
Only talk about my own interests.,H1475
Only want service from the top-qualified person in the field.,V217
Oppose authority.,H498
Order people around.,H1111
Overestimate my achievements.,H743
Overlook things.,H837
Overreact to every little thing in life.,T2167
Overuse my credit.,X168
Own a formal dress or tuxedo.,P449
Panic easily.,"H948, X64"
Participate in many activities.,T2171
Pay a lot of attention to my feelings.,A116
Pay attention to details.,"H1362, X249"
Pay my bills on time.,X127
Pay no attention to my appearance.,H834
Pay no attention to my own needs.,H1196
Pay too little attention to details.,Q36
Perform in public whenever I can.,T2177
Persist in seemingly hopeless situations.,H455
Physically intimidate people to get what I want.,T2179
Pitch in readily.,H519
Place demands on myself.,H246
Plan for the future.,W298
Plan my life based on how I feel.,A69
Plan my life logically.,A97
Play a role in order to impress people.,Q6
Play 'mind games' with others to get what I want.,T2184
Play tricks on others.,H98
Plunge into tasks with all my heart.,H69
Point out others' mistakes.,H269
Postpone decisions.,H1180
Prefer being alone to risking rejection.,T2190
Prefer city life to rural life.,Q1
Prefer diving to swimming.,T2191
Prefer fear to boredom.,R3
Prefer friends who are excitingly unpredictable.,R5
Prefer going to movies to watching videos at home.,X106
Prefer making things myself instead of buying them.,P355
Prefer not to ask for something when I'm not sure I will obtain it,S2
Prefer reading non-fiction to fiction.,X89
Prefer reality to fantasy.,T2197
Prefer renting or leasing a car to owning one,M01
Prefer safety over risk.,T2200
Prefer talking to people about their daily activities rather than their feelings.,A36
Prefer that others make the major decisions in my life.,V258
Prefer the simple life.,Q41
Prefer thrilling activities to staying home to watch TV.,T2204
Prefer to analyze problems rather than to just describe them.,A70
Prefer to be alone.,H587
Prefer to be around people with a background like mine.,P453
Prefer to be controlled by others.,T2208
Prefer to call people 'Mr.' and 'Mrs.',P387
Prefer to deal with strangers in a formal manner.,X77
Prefer to do everything alone.,V73
Prefer to do things by myself.,H682
Prefer to eat at expensive restaurants.,P370
Prefer to just let things happen.,A96
Prefer to let my accomplishments speak for themselves.,W253
Prefer to let my feelings decide what I should do when making important decisions.,W191
Prefer to let others be the center of attention.,R17
Prefer to 'live in the moment' rather than plan things out.,T2205
Prefer to make my own decisions.,T2221
Prefer to observe formalities.,Q159
Prefer to participate fully rather than view life from the sidelines.,V50
Prefer to play it safe and avoid danger.,T2223
Prefer to read nonfiction more than fiction,M05
Prefer to spend my free time with family or friends rather than alone.,T2224
Prefer to stick with things that I know.,X30
Prefer to take on the leadership role in a group.,W218
Prefer to watch light entertainment shows rather than psychological dramas.,A49
Prefer to wear sexually provocative clothing.,T2228
Prefer variety to routine.,X204
Pretend to be concerned for others.,X113
Prevent myself from saying mean things.,Q170
Prevent things from getting out of hand.,H474
Promise too much.,H851
Protect myself from threat or danger.,Q129
Pry into others' personal affairs.,H96
Pull my hair out on purpose.,T2235
Purchase only practical things.,E40
Push myself very hard to succeed.,Q204
Put a new perspective on things.,H1237
Put down others' proposals.,H1082
Put less emphasis on material things than most people do,M73
Put little time and effort into my work.,X167
Put off unpleasant tasks.,E132
Put on a show to impress people.,P491
Put people under pressure.,H774
Put up with anything.,H1033
Put work above pleasure.,H245
Quarrel often with others.,T2250
Question my ability to do my work properly.,X224
Question others' assumptions.,H466
Quickly forget disagreements.,H140
Quickly get the idea of things.,H1307
Quickly lose interest in the tasks I start.,A41
Quickly notice when something is wrong.,H1291
Quickly recognize possibilities.,H60
Quickly think up new ideas.,H471
Quit tasks as soon as I get bored.,T2256
Radiate joy.,"H32, X63"
Rarely analyze my emotions.,A106
Rarely become angry at my friends.,D22
Rarely clean house.,E178
Rarely complain.,E120
Rarely consider my feelings when making a decision.,X4
Rarely count on good things happening to me.,T2263
Rarely cry during sad movies.,A56
Rarely enjoy behaving in a silly manner.,D75
Rarely enjoy being with people.,D82
Rarely enjoy dancing in a spontaneous manner.,D41
Rarely feel angry with people.,D113
Rarely feel depressed.,D87
Rarely feel happy in response to minor events.,D26
Rarely feel ill.,C15
"Rarely finish doing things before they are actually due (such as paying bills, finishing work).",D31
Rarely get bored because I start daydreaming when things get boring.,A17
Rarely get caught up in the excitement.,A13
Rarely get drunk.,X255
Rarely get irritated.,X265
Rarely have fantasies that include intricate details.,D62
Rarely look for a deeper meaning in things.,E77
Rarely lose my composure.,E99
Rarely notice my emotional reactions.,X10
Rarely or never raise my voice in anger.,T2280
Rarely overindulge.,X181
Rarely show my anger.,A66
Rarely smile.,H672
Rarely talk about sex.,P418
Rarely think about how I feel.,A87
Rarely wear a watch.,P498
Rarely worry.,D79
React immediately.,H73
React intensely.,H802
React negatively to the minor and major stresses of life,T2292
React quickly.,H1324
React slowly.,H631
React strongly to criticism.,Q54
React strongly when something goes wrong.,T2295
React with disbelief.,H696
Read a large variety of books.,V291
Read a lot.,H2032
Read all the time.,V222
Read quickly.,H2033
Read slowly.,H2034
Readily overcome setbacks.,H44
Reason logically.,H1223
Reassure others.,H1120
Rebel against authority.,Q207
Recover quickly from stress and illness.,Q60
Reflect on things before acting.,"H1218, X67"
Refuse help.,H1202
Refuse to be sidetracked.,H468
Refuse to be taken advantage of by others.,T2304
Refuse to be talked into things.,H478
Refuse to take credit for work I have not done.,V237
Remain calm during emergencies.,A128
Remain calm during stressful times.,T2306
Remain calm under pressure.,X79
"Remain hopeful about the future, regardless of challenges.*",W122
Remain hopeful despite challenges.,V106
Remain on guard to keep from being tricked or manipulated.,V312
Remember my failures more easily than my successes.,P357
Remember my friends' birthdays.,E50
"Repeatedly check doors, windows, and drawers.",R7
Replay events in my head.,E165
Resent being punished.,P403
Resist authority.,E45
Resist society's rules.,H576
Respect authority.,H296
Respect older people.,E58
Respect others.,H105
Respect others’ feelings.,H159
Respect the opinions of others.,H174
Respect the privacy of others.,H1304
Respond randomly to surveys and questionnaires.,P476
Retreat from others.,H649
Return borrowed items.,H158
Return extra change when a cashier makes a mistake.,E80
Return library books on time.,X98
Reveal intimate details of my life easily.,V131
Reveal little about myself.,H601
Ridicule people.,H2035
Rule with an iron fist.,H790
Rush into things.,"H862, X101"
Sacrifice myself for others.,H1148
Sail my own course.,H404
Say I'm sorry when someone bumps into me in a crowd.,P422
Say inappropriate things.,H82
Say little.,H584
Say nothing new.,H1386
Say things just to be different.,T2333
Say what I think and feel even if I know other people will disagree.,W175
Say what I think.,H336
Say yes to nearly all requests.,H1048
Scheme against others.,H1328
Scratch myself until I bleed.,T2336
Scream at things.,T2338
See beauty in things that others might not notice.,E105
See danger everywhere.,H958
See difficulties everywhere.,H633
See events as unavoidable.,H1009
See little need for romance in my life.,T2342
See myself as a good leader.,P439
See myself as an average person.,Q12
See nothing wrong with being single for the rest of my life.,T2347
See other people as my competitors.,H791
See strange figures or visions when nothing is really there.,A88
See that nobody gets left out.,H146
See that rules are observed.,H215
See the beauty in everyday things.,W14
See the humor in situations.,H1249
See the real causes of problems.*,W280
"See things around me differently than I regularly do (for example, as if looking through a tunnel, or seeing only part of an object).",A73
See through problems.,H1318
See to my own needs first.,H701
Seek adventure.,H446
Seek conflict.,H720
Seek danger.,H894
Seek explanations of things.,H1214
Seek quiet.,H602
Seek status.,H747
Seek support.,H961
Seek to be the best.,H276
Seek to influence others.,H773
Seem to derive less enjoyment from interacting with people than others do.,D20
Seldom become irritated in response to what a person says.,D16
Seldom become irritated when someone is late.,D118
Seldom change my decisions.,X220
Seldom daydream.,X135
Seldom experience sudden intuitive insights.,D11
Seldom feel blue.,X156
Seldom feel sad for longer than an hour.,D104
Seldom feel weepy while reading the sad part of a story.,D65
Seldom forget appointments.,X154
Seldom get emotional.,X29
Seldom get lost in thought.,X175
Seldom get mad.,X231
Seldom help out when people feel overwhelmed by things that need to be done.,D97
Seldom joke around.,X137
Seldom notice details.,E89
Seldom notice the emotional aspects of paintings and pictures.,D4
Seldom read the comics.,X58
Seldom stretch the truth.,X195
Seldom take offense.,X90
Seldom toot my own horn.,X247
Seldom wear colorful clothing.,X190
Sense others' wishes.,H1074
Set high standards for myself and others.,E140
Share my feelings with other people.,W31
Share things with others.,H1112
Shift back and forth between strong love and strong hate.,V165
Shirk my duties.,"H1140, X246"
Shoot my mouth off.,H1192
Should get special privileges.,T2385
Should learn to hold back some of the things I say.,T2386
Shout or scream when I'm angry.,A3
Show a mastery of language.,H1284
Show disgust.,H715
Show faith in people.,H118
Show my fear.,A54
Show my feelings when I’m happy.,A139
Show my feelings.,"H3, X25"
Show my gratitude.,H557
Show my sadness.,A101
Sing out loud to myself when I'm alone.,H2036
Skip difficult words while reading.,H1439
Smile a lot.,Q111
Smoke too many cigarettes.,X160
Snap at people.,H1085
Sometimes do things for quick gains,S1
Sometimes don't know where I am.,T2401
"Sometimes dream of vivid, detailed settings that are unlike anything I've experienced when awake.",D112
Sometimes end up believing my own lies.,T2403
"Sometimes feel ""down"" for several hours from relatively small disappointments.",D38
Sometimes feel as if I am looking at myself from outside.,T2405
Sometimes feel intense sadness because of minor events.,D18
Sometimes feel jealous of other people's situations.,D44
Sometimes feel like I am dreaming while awake.,T2408
Sometimes find my friends to be irritating.,D83
Sometimes find myself in a trance-like state without trying.,T2411
Sometimes 'forget' to do things on purpose.,T2397
Sometimes forget what I'm trying to do.,T2412
Sometimes forget where I am or what I'm doing when listening to music or reading a book.,T2413
Sometimes get lost in my daydreams.,T2414
Sometimes have a hard time concentrating on tasks when I'm very happy.,D108
Sometimes have extremely vivid pictures in my head.,T2416
Sometimes have fantasies that are overwhelming.,T2424
Sometimes have thoughts that don't make any sense.,T2418
Sometimes have to clean myself simply because I feel contaminated.,R59
Sometimes have to do things over.,X200
Sometimes have trouble making up my mind.,P390
Sometimes know that something will happen before it actually does.,T2421
Sometimes lack remorse for treating people badly.,D64
Sometimes laugh out loud when reading or watching TV.,A48
Sometimes see visual images when resting with my eyes closed.,D43
Sometimes think the TV is talking directly to me.,T2426
Speak briefly and to the point.,H392
Speak ill of others.,H1124
Speak loudly.,H527
Speak only when spoken to.,H2037
Speak rapidly.,H2038
Speak slowly.,X273
Speak softly.,H548
Speak up for others.,H1147
Speak up in protest when I hear someone say mean things.,V298
Spend a lot of time creating a good image of myself in the eyes of others,S33
Spend a lot of time on the phone.,E79
Spend a lot of time reading.,H2039
Spend a lot of time watching television.,H2040
Spend lots of my free time helping others.,W206
Spend more money than I have.,E75
Spend more money than I should.,Q135
Spend much of the day fantasizing or daydreaming.,A45
Spend time reflecting on things.,X114
Spend time thinking about past mistakes.,E114
Spend too much money when I'm emotional.,T2437
Spill things.,H1409
Stand behind my actions.,H410
Start conversations.,H16
Start fights.,H1164
Start tasks right away.,H511
Start to perspire when I meet someone new.,T2444
"Stay away from the doctor, for fear of what they might find.",T2445
Stay in touch with old acquaintances.,E91
Stay only where I'm wanted.,Q166
Steal things.,A119
Stick to my chosen path.,H367
Stick to my point of view.,H341
Stick to my previous decisions.,H255
Stick to the facts.,Q38
Stick to the rules.,H294
Stick up for myself.,H1077
Stop to count my blessings.,V104
Stop when work becomes too difficult.,Q220
Strive in every way possible to be flawless.,T2456
Stumble over my words.,H1205
Suddenly lose interest.,H924
Suffer from others' sorrows.,"H988, X65"
Support my teammates or fellow group members.,V236
Suspect hidden motives in others.,H604
Suspect that my facial expressions give me away when I feel sad.,A80
Suspect that people like to talk to me because my ideas are unusual.,D32
Swim against the current.,H690
Switch my loyalties when I feel like it.,Q125
Sympathize with others' feelings.,H1130
Sympathize with the homeless.,X259
Take a long time to think before making big decisions.,W192
Take advantage of others.,"H427, V109"
Take an interest in other people's lives.,H1129
Take care of my own affairs.,H412
Take charge.,"H334, X27"
Take control of things.,H325
Take deviant positions.,H1090
Take good care of my belongings.,H243
Take in stray animals.,X262
Take liberties with others' things.,H90
Take no time for others.,"H918, X170"
Take offense easily.,H920
Take orders from anybody.,H1029
Take others' interests into account.,H183
Take part in community projects to help people who have less than me.,W49
Take pleasure in watching people suffer.,T2480
Take precautions.,H892
Take pride in not exaggerating who or what I am.,V231
Take responsibility for what happens.,Q99
Take risks that could cause trouble for me.,A68
Take risks.,H864
Take tasks too lightly.,H836
Take the blame when I'm at fault.,Q198
Take the future into account.,H1258
Take the initiative.,H64
Take the time to finish things.,H1410
Take things as they come.,E144
Take things for granted.,H1421
Take things in quickly.,H1294
Take things lying down.,H1066
Take things seriously.,H667
Take time out for others.,H160
Take time out to chat.,H115
Take time to reflect on things.,H663
Take unfair advantage of others.,V279
Talk a lot.,R11
Talk about my worries.,H62
Talk about others to stir up conflict.,T2496
Talk during movies.,E54
Talk even when I know I shouldn't.,E98
Talk for no reason.,H540
Talk mainly about myself.,H718
Talk nonsense.,H541
Talk out loud to myself.,H2041
Talk to a lot of different people at parties.,X83
Talk to myself a lot.,H2042
Talk too much.,H1138
Talk without thinking.,H84
Talked less than usual.,N24
Talked out loud to myself.,B21
Tease people.,H1158
Tell other people what they want to hear so that they will do what I want them to do.,A141
Tell others what I really think.,X233
Tell people about it when I'm irritated.,Q121
Tell tall stories about myself.,H748
Tell the truth.,H145
Tend to analyze things.,E125
Tend to be admired by others,M41
"Tend to become agitated whenever I have to sit and wait for something (for instance, in a waiting room).",D106
Tend to dislike impulsive people.,E52
Tend to dislike secretive people.,E88
Tend to dislike shallow people.,E26
Tend to dislike soft-hearted people.,E121
Tend to explode with anger when things don't go as planned.,T2516
Tend to feel happy and irritable at the same time.,R36
Tend to feel the same every day.,E151
Tend to feel very hopeless.,T2519
Tend to find social situations confusing,M50
Tend to focus on only the negative parts of my life.,T2520
Tend to get emotionally involved with a friend's problems,M09
Tend to give others a hard time,M20
Tend to hang on to things I should probably throw out,M04
Tend to know beforehand what a conversation partner is about to say,M06
Tend to live in the present.,E116
Tend to look out only for myself,M53
Tend to notice details that others do not,M17
"Tend to organize my books, CDs, and other collections",M74
Tend to talk sarcastically.,Q112
Tend to think about something for hours.,E101
Tend to think of alternatives when someone tells me how to do something.,V41
Tend to vote for conservative political candidates.,X126
Tend to vote for liberal political candidates.,X218
Tend to worry about strange bodily sensations that I have.,T2522
Think a lot before complaining in a restaurant if my meal is not well-prepared,S8
Think about dying all the time.,T2524
Think about the causes of my emotions.,A33
Think about what is good in my life when I feel down.,V317
Think ahead.,H1256
Think before I speak.,V100
Think constantly about sex.,Q147
Think deeply about things.,H1212
Think highly of myself.,H2043
Think I have a healthy way of dealing with my problems.,T2531
Think I would make a good actor.,R60
Think it would be exciting to be near an explosion.,T2534
Think it's best to keep my emotions to myself.,T2535
Think most other people are better than me.,T2536
Think my sex drive is stronger than most other people.,T2537
Think of myself as a good and moral person.,T2538
Think of others as objects to be used for my personal pleasure.,T2539
Think of others first.,H126
Think of things like developing cancer or catching a serious illness.,C19
Think quickly.,H1287
Think that all will be well.,H43
Think that being in touch with emotions is essential.,A118
Think that changing important personal beliefs is often necessary to grow as a person.,W189
Think that everybody should give some of their time and energy to help their town or country.,W47
Think that everyone should be responsible for their own behaviors,W79
Think that everyone should get a fair share.,W81
Think that I am in good medical condition.,T2547
Think that in difficult situations it is possible to find something to laugh or joke about.,W141
Think that it is important to forgive people who have hurt me.,W95
Think that life does not always have to be serious.,W143
Think that looking for hidden meanings in movies or plays distracts from their enjoyment.,A91
Think that love is overrated.,A146
Think that most of my problems are due to the fact that other people just don't understand me.,A37
Think that most people in authority are incompetent or corrupt.,V276
Think that my life is extremely interesting.,V289
Think that my moods don't change more than most people's do.,R27
Think that others should do all the work.,H739
Think that people need to learn restraint.,E154
Think that people who are stupid enough to get ripped off usually deserve it.,A121
Think that suicide would solve a lot of problems.,T2562
Think too highly of myself.,H723
Think twice before doing something.,H213
Think up practical solutions.,H1308
Thought about killing myself.,N12
Thought that my life had been a failure.,N11
Throw a new light on the situation.,H472
Throw things across the room when angry.,T2565
Tire out quickly.,Q65
Tolerate a lot from others.,H1170
Torture animals.,T2568
Treat all people equally.,"H186, V94"
Treat all races and religions equally.,Q211
Treat everyone the same.,V171
Treat my doctors and other professionals as my friends.,V209
Treat others badly,M03
Treat others differently if I don't like them.,V241
Treat people as inferiors.,H792
Treated my parents badly,M12
Treated my parents well,M35
Tremble in dangerous situations.,Q5
Trust everyone.,T2574
Trust others.,"H113, X6"
Trust what people say.,E157
Try hard to protect myself from threats or dangers.,R42
Try hard to treat others with respect,M75
Try not to deceive others.,X143
Try not to do favors for others.,V40
Try not to think about the needy.,E166
Try out new things.,H1269
Try to act fairly in all situations.,W78
Try to add some humor to whatever I do.,V180
Try to always be open and honest about my feelings.,W174
Try to always tell the truth.*,W177
Try to avoid coarse people.,E129
Try to avoid complex people.,E171
Try to avoid speaking in public,S22
Try to be with someone else when I'm feeling badly.,Q238
Try to cheat others.,H705
Try to do too difficult things.,H899
Try to examine myself objectively.,E173
Try to fit in with others.,D107
Try to follow the rules.,X150
Try to fool others.,H1072
Try to forgive and forget.,E126
Try to get rid of my prejudices.,P398
Try to have fun in all kinds of situations.,V146
Try to have good reasons for my important decisions.,V292
Try to identify the reasons for my actions.,V4
Try to impress others.,H744
"Try to keep my life simple, with very few possessions",M37
Try to lead others.,H524
Try to maintain a pleasant atmosphere.,H129
Try to make my group members happy.,V274
Try to make sure everyone in a group feels included.,V35
Try to meet people I find attractive,S20
Try to outdo others.,H1086
Try to please everyone.,E3
Try to prevent quarrels.,H131
Try to provoke others just to get a response.,T2602
Try to respond with understanding when someone treats me badly.,V269
Try to stay in touch with myself.,E177
Try to stay inside when the weather is bad.,R39
Try to surpass others' accomplishments.,H1193
Try to tease my friends out of their gloomy moods.,V48
Try to understand myself.,E123
Turn my back on others.,H1430
Turn people against each other.,H428
Turn plans into actions.,H402
Turn red with anger.,H811
Turn ugly when I drink too much.,E155
Typically spend much of the day daydreaming.,T2610
Underestimate myself.,H1139
Understand people who think differently.,H175
Understand the reasons when I feel very excited or happy.,R62
Understand things quickly.,H1310
Undertake few things on my own.,H972
Urge others to behave themselves.,H220
Use a lot of medications.,Q201
Use difficult words.,H1272
Use flattery to get ahead.,X91
Use laughter to brighten the days of others.,V111
Use magic to ward off bad thoughts about me.,V162
Use my attractiveness to get what I want.,T2620
Use my body language to attract others.,T2621
Use my brain.,H1215
Use my charm to get attention.,V147
Use my looks to get what I want.,T2623
Use others for my own ends.,"H416, X24"
Use sex to get what I want.,T2625
Use swear words.,E111
Usually believe that my friends will abandon me.,T2626
"Usually demand that I do better the next time, even when I have done something very well.",T2627
Usually drift off mentally when doing simple tasks.,T2628
Usually end up laughing if the people around me are laughing.,A16
Usually enjoy being with people.,D3
Usually expect bad things to happen.,T2632
"Usually feel neutral, instead of happy, when not feeling unhappy.",D61
Usually feel that life has been sucked right out of me.,T2634
Usually find it hard to go back and forth between two different tasks.,D78
Usually get my way with others.,T2636
Usually get right to work on something that needs to be done as soon as I think of it.,D40
Usually have dreams that don't have an elaborate or detailed plot.,D29
Usually like to spend my free time with people.,D70
Usually like to talk a lot.,D45
Usually notice visual details in the environment.,D9
Usually notice when the environment is quiet.,D59
Usually take care of my responsibilities as soon as possible.,D74
Usually take charge in emergencies.*,W221
"Usually work on improving things, instead of getting frustrated, when everything seems to be going wrong.",D33
Value cooperation over competition.,X240
Value having long-term close relationships with people.,D21
View sex as a chore.,T2647
Wait for my turn.,H170
Wait for others to lead the way.,H976
Wake each morning to feelings of tremendous sadness.,T2651
Walk over others.,H434
Wall myself off from others.,V134
Want every detail taken care of.,H1002
Want everything to add up perfectly.,H241
"Want everything to be ""just right.""",E11
Want others to attend to my needs first.,V141
Want things done my way.,H766
Want things to proceed according to plan.,H303
Want to amount to something special in others' eyes.,P436
Want to be different from others.,H510
Want to be in charge.,H793
Want to be left alone.,H660
Want to be liked.,H1057
Want to be the perfect leader.,Q119
Want to be the very best.,H1203
Want to be told I am right.,H730
Want to control the conversation.,H770
Want to experience passion and romance.,Q188
Want to form my own opinions.,H1221
Want to have the last word.,H507
Want to increase my knowledge.,H1213
Want to keep things as they are.,H1058
Want to know everything.,H1268
Want to know the reasons why.,H1290
Want to know what I am up against.,H227
Want to mean something to others.,H204
Want to please others.,H1097
Want to prove myself.,H1107
Want to see things for myself.,H680
Want to understand things.,H1209
Wanted to run away from home when I was a child.,Q239
Warm up quickly to others.,"H52, X1"
Was a better than average student when I was in school.,Q142
Was a juvenile delinquent.,T2682
Was a slow learner in school.,Q241
Was approached by someone I didn't know who called me by another name or who insisted that he or she had met me before.,B6
Was aware at an early age that I was different from others.,D119
Was bothered by things that usually don't bother me.,N01
Was considered a troublemaker in school.,T2684
Was down in the dumps.,N06
Was known for challenging my teachers in school.,T2685
Was listening to someone talk and suddenly realized I did not hear part or all of what was said.,B2
Was often sent to the principal for fighting when I was a kid.,T2686
Was told I wasn't acting like myself.,N15
Was told that I sometimes do not recognize a friend or family member.,B8
Wash my hands more often than is necessary.,R47
"Waste money, or lose it gambling.",A126
Waste my time.,"H1186, X49"
Waste time talking.,H539
Watch out for possible danger.,H223
Watch too much television.,X142
Wear clothing that shows off or enhances my best features.,T2691
Wear my heart on my sleeve.,H93
Wear stylish clothing.,P460
Wear T-shirts in public.,P348
Weigh the pros against the cons.,H353
Weigh the pro's and the con's.,V257
"When in a group, try to make my opinions the most intelligent or the funniest",S6
"When interacting with a group of people, am often bothered by at least one of them.",D39
"When with a group, have difficulties selecting a good topic to talk about",S16
Will agree to anything.,H1052
Will believe anything.,H960
Will do almost anything to avoid being alone.,T2700
Will do almost anything to avoid being rejected.,T2701
Will do anything for money.,Q108
Will do anything for my career.,H273
Will do anything for others.,H198
Will do anything to avoid losing my friends and romantic partners.,T2705
Will do anything to get my way.,H425
Will do just about anything to please people.,V173
Will not probe deeply into a subject.,"H1392, X54"
Will push people around to get what I want.,T2716
Will spread false rumors as a way to hurt others.,T2718
Will succeed with the goals I set for myself.,V246
Will try anything once.,W60
Will try to get even when someone hurts me.,T2720
Will upset people if I think that it is the right thing to do.,W361
Will use whatever I can find as a weapon to fight with.,T2721
Wish I could experience more pleasure from my life.,T2723
Wish I could more easily show my negative feelings.,A28
Wish I was less concerned about my health.,C16
Wish that I was somebody else.,Q157
Wish that I were more fully employed.,Q169
Wish that something bad will happen to someone I dislike.,V93
Wish to stay young forever.,Q19
Withdraw from people when I feel hurt.,Q246
Withhold information from others.,H1329
Wonder how I got to be the way that I am.,Q146
Wonder if the people I know can really be trusted.,T2736
Wonder who I really am.,A52
Won't be satisfied until I get all I deserve.,P475
Won't leave people alone.,H768
Won't let others dominate me.,Q249
Won't take the blame for something that's not my fault.,P431
Work according to a routine.,H264
Work best when I am alone.,V132
Work hard.,"H1206, X44"
Work harder after a failure.,Q113
Work longer hours than most people.,Q242
Work on improving myself.,E170
Work out my anxieties by doing something consturctive or creative.,Q247
Work so hard that my mental health has suffered.,T2744
Work so hard that my relationships have suffered.,T2745
Work too much.,P484
Worked hard when I was in school.,Q174
Worry a lot about catching a serious illness.,C1
Worry a lot when I develop a physical symptom that I never have had before.,C12
Worry about being embarrassed.,V308
Worry about my health.,C5
Worry about people taking my possessions,M16
Worry about things.,"H1157, X5"
Worry about what people think of me.,P420
Worry so much that I can't get anything done.,T2754
Worry that certain people will take unfair advantage of me.,V250
Worry that certain people will try to trick or deceive me.,V215
Worry too much about what others might think.,T2757
Would always wear a helmet if I rode a bike.,E61
Would be afraid to give a speech in public.,Q45
Would be described by friends and family as interested in lots of different things.*,W236
Would be described by my friends as brave.*,W364
Would be described by my friends as having lots of positive energy.*,W378
Would be good at rescuing people from a burning building.,Q31
Would be happier if I could afford to buy more things,M76
Would be nervous playing the clown in front of other people.,R30
Would be upset if I saw an injured animal.,A46
Would be upset if my success came at someone else's expense.,A127
Would change my name or life story to get out of trouble.,V244
Would consider adopting a handicapped child.,X153
Would describe my experiences as somewhat dull.,X147
Would describe myself as a normal person.,T2768
Would do anything to get an adrenaline rush.,T2769
Would enjoy a job where my life is on the line.,T2771
Would enjoy being out on a sailboat during a storm.,Q115
Would enjoy campaigning for political office.,R9
Would enjoy cliff diving from great heights.,T2775
Would enjoy the riskiness of being a police officer or firefighter.,T2776
Would fear walking in a high-crime part of a city.,R52
Would feel uncomfortable trying to take advantage of others.,Q8
Would feel very badly for a long time if I were to steal from someone.,D102
Would find it difficult to ask for a salary increase,S31
Would find it distressing to see someone sleeping on the streets.,D36
Would go streaking in public just for the thrill of it.,T2782
Would hate to be considered odd or strange.,D46
Would knowingly sell something that broken or faulty.,T2784
Would later feel guilty if I were to lose my temper and threaten someone.,D115
Would like to be a race-car driver.,Q120
Would like to be a socially powerful person,S23
Would like to have more power than other people.,Q165
Would like to live for awhile in a different country.,X158
Would like to try bungee jumping.,R77
Would love to be a celebrity.,T2790
Would love to be on a reality TV show.,T2791
Would love to explore strange places.,R71
Would love to perform in front of a crowd.,T2794
Would love to take off on a trip with no planned route or timetable.,R22
Would make a good actor.,P444
Would make a good night-club comedian.,R26
Would much prefer to have friends than romantic partners in my life.,T2798
Would never accept welfare.,E161
Would never be described as arrogant.,V321
Would never cheat on my taxes.,X136
Would never go hang-gliding or bungee-jumping.,X250
Would never go riding down a stretch of rapids in a canoe.,Q136
Would never indulge in extramarital affairs.,Q102
Would never make a high-risk investment.,E71
Would never take things that aren't mine.,P367
Would not be a good comedian.,P485
Would not be very distressed by seeing an animal in pain.,D12
Would not enjoy a job that involves a lot of social interaction.,D101
Would not enjoy being a famous celebrity.,Q226
Would not enjoy fast dancing.,D8
Would not feel guilty about hurting the feelings of someone I disliked.,D28
Would not feel very distressed and concerned if a friend were to complain of having an especially bad headache.,D80
Would not regret my behavior if I were to take advantage of someone impulsively.,D86
Would obtain specific information about the product before making a big purchase,M15
Would prefer being in a hurricane or earthquake to spending the day moving heavy bricks.,T2818
Would prefer sitting through a boring TV show to being in a store during an armed robbery.,T2819
Would prefer to live in a fantasy world rather than the real one.,T2820
Would pretend to have personal problems to gain pity or attention.,T2823
Would rather avoid using manufactured goods.,P381
Would rather be alone than in bad company,M69
